,Traffic
2019-03-17 22:00:00,48072.0
2019-03-17 22:15:00,47973.0
2019-03-17 22:30:00,47934.0
2019-03-17 22:45:00,4927.0
2019-03-17 23:00:00,57.0
2019-03-17 23:15:00,64.0
2019-03-17 23:30:00,0.0
2019-03-17 23:45:00,15.0
2019-03-18 00:00:00,3.0
2019-03-18 00:15:00,0.0
2019-03-18 00:30:00,0.0
2019-03-18 00:45:00,0.0
2019-03-18 01:00:00,17.0
2019-03-18 01:15:00,37.0
2019-03-18 01:30:00,241.0
2019-03-18 01:45:00,2527.0
2019-03-18 02:00:00,2103.0
2019-03-18 02:15:00,2611.0
2019-03-18 02:30:00,2637.0
2019-03-18 02:45:00,2542.0
2019-03-18 03:00:00,99.0
2019-03-18 03:15:00,1391.0
2019-03-18 03:30:00,3309.0
2019-03-18 03:45:00,3309.0
2019-03-18 04:00:00,3309.0
2019-03-18 04:15:00,3309.0
2019-03-18 04:30:00,2189.0
2019-03-18 04:45:00,56.0
2019-03-18 05:00:00,56.0
2019-03-18 05:15:00,56.0
2019-03-18 05:30:00,56.0
2019-03-18 05:45:00,572.0
2019-03-18 06:00:00,47.0
2019-03-18 06:15:00,263.0
2019-03-18 06:30:00,0.0
2019-03-18 06:45:00,0.0
2019-03-18 07:00:00,28.0
2019-03-18 07:15:00,287.0
2019-03-18 07:30:00,411.0
2019-03-18 07:45:00,61.0
2019-03-18 08:00:00,120.0
2019-03-18 08:15:00,1173.0
2019-03-18 08:30:00,377.0
2019-03-18 08:45:00,149.0
2019-03-18 09:00:00,232.0
2019-03-18 09:15:00,249.0
2019-03-18 09:30:00,805.0
2019-03-18 09:45:00,0.0
2019-03-18 10:00:00,21.0
2019-03-18 10:15:00,2.0
2019-03-18 10:30:00,0.0
2019-03-18 10:45:00,4.0
2019-03-18 11:00:00,34.0
2019-03-18 11:15:00,1.0
2019-03-18 11:30:00,1.0
2019-03-18 11:45:00,0.0
2019-03-18 12:00:00,501.0
2019-03-18 12:15:00,63.0
2019-03-18 12:30:00,23.0
2019-03-18 12:45:00,376.0
2019-03-18 13:00:00,111.0
2019-03-18 13:15:00,0.0
2019-03-18 13:30:00,16.0
2019-03-18 13:45:00,74.0
2019-03-18 14:00:00,152.0
2019-03-18 14:15:00,147.0
2019-03-18 14:30:00,307.0
2019-03-18 14:45:00,9.0
2019-03-18 15:00:00,89.0
2019-03-18 15:15:00,126.0
2019-03-18 15:30:00,126.0
2019-03-18 15:45:00,133.0
2019-03-18 16:00:00,106.0
2019-03-18 16:15:00,38.0
2019-03-18 16:30:00,154.0
2019-03-18 16:45:00,306.0
2019-03-18 17:00:00,683.0
2019-03-18 17:15:00,151.0
2019-03-18 17:30:00,161.0
2019-03-18 17:45:00,23.0
2019-03-18 18:00:00,389.0
2019-03-18 18:15:00,277.0
2019-03-18 18:30:00,288.0
2019-03-18 18:45:00,1709.0
2019-03-18 19:00:00,1258.0
2019-03-18 19:15:00,909.0
2019-03-18 19:30:00,989.0
2019-03-18 19:45:00,1009.0
2019-03-18 20:00:00,84.0
2019-03-18 20:15:00,732.0
2019-03-18 20:30:00,4473.0
2019-03-18 20:45:00,3121.0
2019-03-18 21:00:00,1128.0
2019-03-18 21:15:00,1006.0
2019-03-18 21:30:00,1803.0
2019-03-18 21:45:00,774.0
2019-03-18 22:00:00,1546.0
2019-03-18 22:15:00,67.0
2019-03-18 22:30:00,36.0
2019-03-18 22:45:00,289.0
